Diagnosis,Count,Cases,Common
fever,7,"['13', '52', '54', '74', '87', '88', '93']","['African Tick-Bite Fever', 'Bartonellosis – Oroya Fever and Verruga Peruana', 'Lassa Fever', 'Mayaro-Fever', 'Severe Fever With Thrombocytopenia', 'Typhoid Fever', 'Yellow Fever']"
meningitis,5,"['16', '3', '35', '64', '85']","['Acute Bacterial Meningitis', 'Cryptococcal Meningitis', 'Eosinophilic Meningitis', 'Streptococcus suis meningitis', 'Tuberculous Meningitis']"
acute,3,"['20', '48', '77']","['Acute Arboviral Infection', 'Acute Schistosomiasis (Katayama Syndrome)', 'Acute Transverse Myelitis']"
tuberculosis,3,"['11', '33', '66']","['Spinal Tuberculosis (Pott’s Disease)', 'Tuberculosis', 'Tuberculosis in HIV-Infected Patients']"
Melioidosis,2,"['15', '32']",
Filoviral Diseases,2,"['1', '53']",
Brucellosis,2,"['76', '81']",
schistosomiasis,2,"['57', '7']","['Genitourinary Schistosomiasis', 'Hepatosplenic Schistosomiasis']"
neurocysticercosis,2,"['38', '82']","['Neurocysticercosis', 'Subarachnoid Neurocysticercosis']"
malaria,2,"['22', '92']","['Knowlesi Malaria', 'Malaria']"
malarial,2,"['4', '73']","['Cerebral Malaria and Malarial Retinopathy', 'Hyperreactive Malarial Splenomegaly (HMS)']"
leishmaniasis,2,"['2', '44']","['Cutaneous Leishmaniasis', 'Visceral Leishmaniasis (Kala-Azar)']"
Kaposi’s Sarcoma,1,['59'],
Measles,1,['31'],
Loiasis,1,['28'],
Hantavirus Cardiopulmonary Syndrome (HCPS),1,['90'],
Sporotrichosis,1,['34'],
Progressive Multifocal Leukoencephalopathy,1,['51'],
Paragonimiasis,1,['71'],
Crusted Scabies,1,['10'],
Giardiasis,1,['49'],
Poor-Quality Medicines,1,['39'],
Chagas Disease,1,['89'],
Gnathostomiasis,1,['6'],
Amoebic Liver Abscess,1,['46'],
Konzo,1,['24'],
Syphilis in Pregnancy,1,['56'],
Talaromycosis (Penicilliosis),1,['17'],
Ocular Surface Squamous Neoplasia,1,['43'],
Neurolathyrism,1,['69'],
Pellagra,1,['37'],
Noma,1,['5'],
Scrub Typhus,1,['70'],
Infantile Beriberi,1,['45'],
Rabies,1,['91'],
Cystic Echinococcosis,1,['50'],
Myiasis,1,['8'],
Trachoma,1,['30'],
Cholangiocarcinoma,1,['80'],
Paracoccidioidomycosis,1,['55'],
Dengue,1,['9'],
Stevens–Johnson Syndrome and Toxic Epidermal,1,['68'],
Tungiasis,1,['65'],
Mycobacterium ulcerans Disease (Buruli Ulcer),1,['41'],
Burkitt’s Lymphoma,1,['60'],
Tetanus,1,['40'],
Leg Ulcers in Sickle Cell Disease,1,['62'],
Yaws,1,['86'],
Snake Bite,1,['26'],
Kwashiorkor,1,['72'],
Immune Reconstitution Inflammatory Syndrome,1,['47'],
Invasive Non-Typhoidal Salmonellae (iNTS) Infection,1,['29'],
Chancroid,1,['12'],
Onchocerciasis,1,['19'],
Fascioliasis,1,['67'],
Intestinal Capillariasis,1,['58'],
Chromoblastomycosis,1,['25'],
Seizure Management in HIV,1,['75'],
Human African Trypanosomiasis (HAT),1,['78'],
Cholera,1,['14'],
Neuroschistosomiasis,1,['63'],
Pneumocystis Pneumonia (PCP),1,['23'],
Anthrax,1,['21'],
Leptospirosis,1,['27'],
cutaneous,1,['42'],['Hookworm-Related Cutaneous Larva Migrans']
Histoplasmosis,1,['61'],
cerebral,1,['84'],['Cerebral Sparganosis']
Leprosy,1,['83'],
Lymphatic Filariasis,1,['36'],
Human Monkeypox,1,['94'],
HTLV-1-Associated Strongyloides stercoralis Hyperinfection Syndrome,1,['79'],
